yas,gelir,kredi_skoru,borc_miktari,kredi_onayi
56,14968,677,16317,Hayır
69,12084,745,22025,Hayır
46,15280,509,31147,Hayır
32,4754,540,36111,Hayır
60,19856,469,4658,Hayır
25,19490,656,11954,Hayır
38,12618,735,5134,Hayır
56,17817,713,36133,Hayır
36,3803,428,45180,Hayır
40,10272,731,7983,Hayır
28,17668,697,29590,Hayır
28,8906,386,20644,Hayır
41,13931,533,36072,Hayır
53,4988,676,33058,Hayır
57,9204,703,41617,Hayır
41,15028,383,38024,Hayır
20,10516,714,7535,Hayır
39,4361,566,11176,Hayır
19,19618,305,48977,Hayır
41,18486,726,44153,Hayır
61,16774,358,44477,Hayır
47,6912,317,27198,Hayır
55,2746,673,10604,Hayır
19,16373,343,16133,Hayır
38,6908,460,35996,Hayır
50,5691,622,29626,Hayır
29,13677,337,29990,Hayır
39,5064,536,40761,Hayır
61,3719,571,33344,Hayır
42,8026,593,29465,Hayır
66,12728,362,19347,Hayır
44,16073,526,22727,Hayır
59,9737,645,21820,Hayır
45,9184,564,24523,Hayır
33,3789,710,111,Evet
32,16575,714,3504,Evet
64,15686,442,27675,Hayır
68,16351,523,27574,Hayır
61,2259,400,20837,Hayır
69,16234,508,23083,Hayır
20,17266,540,41132,Hayır
54,9252,743,19437,Hayır
68,2099,633,34242,Hayır
24,5905,338,25786,Hayır
38,17090,362,28861,Hayır
26,4342,337,13216,Hayır
56,10091,715,23363,Hayır
35,7024,561,49563,Hayır
21,13441,414,17316,Hayır
42,15755,609,33259,Hayır
31,18711,416,38735,Hayır
67,11543,397,19063,Hayır
26,4289,461,41238,Hayır
43,19749,631,26947,Hayır
19,13354,692,8135,Hayır
37,13291,519,9618,Hayır
45,19792,669,13088,Hayır
64,11702,513,20708,Hayır
24,2219,331,35787,Hayır
61,8407,702,4174,Hayır
25,12360,671,38074,Hayır
64,17405,347,6598,Hayır
52,15591,572,25616,Hayır
31,5239,615,4085,Hayır
34,19653,437,20758,Hayır
53,9542,349,25538,Hayır
67,14567,658,25892,Hayır
57,8857,849,48578,Hayır
